PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",00-0000,All Occupations,total,1116390,1.1,1000,1,37.19,77360,1.3,12.53,16.33,27.55,48.35,75.25,26070,33970,57290,100570,156530,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-0000,Management Occupations,major,90630,2,81.179,1.59,78.16,162580,1.1,32,48.08,71.19,97.77,#,66570,100000,148070,203370,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1011,Chief Executives,detailed,2620,4,2.347,1.59,117.15,243670,2.2,54.08,83.04,#,#,#,112480,172720,#,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1021,General and Operations Managers,detailed,19610,3.3,17.561,1.13,80.54,167530,1.3,28.57,43.23,70.51,#,#,59430,89920,146660,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1031,Legislators,detailed,90,14,0.083,0.23,*,71460,7.3,*,*,*,*,*,37170,48630,67960,88040,121770,True,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,770,19.1,0.69,3.5,63.31,131690,2.9,33.16,43.11,56.53,76.77,99.56,68980,89670,117580,159690,207090,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2021,Marketing Managers,detailed,6290,5,5.634,3.67,87.4,181800,1.9,49.56,62.74,80.25,#,#,103080,130500,166920,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2022,Sales Managers,detailed,6220,4.2,5.572,2.14,75.34,156700,1.7,31.68,46.54,67.74,94.37,#,65890,96810,140900,196290,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1370,8.6,1.224,2.59,72.39,150580,3.4,40.73,48.27,62.45,86.62,#,84710,100410,129900,180170,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3011,Administrative Services Managers,detailed,3760,5.3,3.364,1.78,65.51,136270,3.9,33.54,42.48,57.99,76.81,#,69760,88350,120620,159770,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,8760,8,7.846,3.06,96.68,201100,1.8,62.4,74.74,89.79,#,#,129800,155450,186760,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3031,Financial Managers,detailed,8710,4.1,7.8,1.95,93.01,193450,2.4,46.51,62.39,84.24,#,#,96730,129780,175220,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3051,Industrial Production Managers,detailed,870,7.3,0.782,0.65,70.02,145640,3.2,36.6,48.25,64.43,84,#,76130,100370,134010,174730,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3061,Purchasing Managers,detailed,720,6.8,0.647,1.31,74.06,154050,2.8,45.52,55.89,69.55,84.38,#,94680,116250,144670,175520,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,1280,10.2,1.145,1.38,62.37,129730,3,36.19,44.18,55.7,73.7,96.56,75270,91890,115850,153300,200850,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3111,Compensation and Benefits Managers,detailed,260,10.7,0.235,2.16,76.34,158790,4.2,43.19,53.47,73.14,92.31,#,89840,111220,152130,192000,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3121,Human Resources Managers,detailed,2220,4.7,1.99,2.08,79.76,165910,1.5,46.89,59.39,73.95,92.08,#,97530,123530,153830,191540,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3131,Training and Development Managers,detailed,540,9.9,0.48,1.99,72.46,150720,3.3,38.09,49.65,66.03,82.31,#,79220,103280,137350,171190,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50,29.1,0.042,1.29,44.03,91580,16.4,17.78,36.03,44.87,50.99,70.46,36980,74940,93330,106050,146570,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9021,Construction Managers,detailed,1990,8.6,1.784,0.96,70.43,146490,2.1,42.6,53.43,69.08,81.74,99.06,88600,111130,143690,170030,206050,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,570,19.5,0.51,1.48,29.98,62370,4.3,20.84,23.24,29.71,35.28,38.46,43340,48350,61790,73390,79990,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",detailed,860,7.7,0.771,0.44,*,118460,3,*,*,*,*,*,85410,97430,115010,135330,161760,True,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",detailed,820,14.6,0.736,0.74,58.26,121190,5.3,33.53,41.58,53.65,69.22,86.18,69730,86480,111600,143970,179250,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9039,"Education Administrators, All Other",detailed,430,15.5,0.384,1.51,46.62,96970,4.6,25.26,31.53,40.45,58.37,77.12,52540,65580,84130,121400,160410,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9041,Architectural and Engineering Managers,detailed,2850,16.5,2.55,2.02,81.73,170000,5.9,45.56,56.52,72.2,96.74,#,94770,117560,150180,201220,#,,
