PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",00-0000,All Occupations,total,1067130,1,1000,1,36.61,76160,1.2,12.11,16.34,27.55,47.79,73.58,25190,33990,57300,99400,153050,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-0000,Management Occupations,major,85120,1.7,79.761,1.58,77.01,160180,1.3,30.49,46.69,69.8,97.34,#,63420,97120,145180,202480,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1011,Chief Executives,detailed,2760,4.8,2.59,1.63,114.2,237540,3,52.76,77.34,#,#,#,109740,160860,#,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1021,General and Operations Managers,detailed,19310,3.1,18.091,1.16,78.86,164020,1.8,27.42,41.97,67.69,#,#,57030,87300,140790,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1031,Legislators,detailed,90,7.4,0.083,0.22,*,71650,7.1,*,*,*,*,*,38940,49580,68110,88970,117980,True,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,710,17.1,0.665,3.24,61.52,127960,3.6,27.99,40.3,54.85,76.49,98.5,58210,83810,114090,159100,204870,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2021,Marketing Managers,detailed,5690,6.1,5.332,3.64,91.72,190780,2.6,47.83,65.5,85.78,#,#,99480,136240,178430,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2022,Sales Managers,detailed,5830,5.3,5.46,2.1,73.07,151990,2.5,26.93,42.4,65.63,94.26,#,56020,88200,136510,196050,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1280,7.6,1.202,2.64,72.7,151220,3.6,40.19,49.19,66.33,86.98,#,83590,102320,137960,180910,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3011,Administrative Services Managers,detailed,3380,4.9,3.165,1.67,60.6,126040,2.6,30.04,39.61,55.28,73.45,97.39,62490,82390,114980,152770,202560,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,8000,7.3,7.501,2.99,93.84,195180,2.8,58.64,70.76,86.23,#,#,121960,147180,179360,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3031,Financial Managers,detailed,8320,3.5,7.798,2.02,92.79,193010,2.3,45,61.01,83.42,#,#,93600,126910,173520,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3051,Industrial Production Managers,detailed,760,8.5,0.715,0.6,65.85,136960,4.8,33.85,44.12,60.56,80.5,#,70400,91770,125960,167450,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3061,Purchasing Managers,detailed,690,6.6,0.645,1.26,69,143510,3.7,37.32,50.02,66.44,82.45,#,77620,104040,138200,171500,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,1130,6.4,1.059,1.31,57.66,119940,3.4,31.89,39.96,51.9,70.47,91.13,66320,83110,107960,146590,189550,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3111,Compensation and Benefits Managers,detailed,240,8.6,0.222,2.05,74.61,155180,4.2,42.17,54.55,71.15,89.34,#,87710,113460,148000,185830,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3121,Human Resources Managers,detailed,2020,3.4,1.89,2.04,77.93,162090,2.1,41.82,56.3,72.65,92.05,#,86980,117100,151100,191470,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3131,Training and Development Managers,detailed,450,10.6,0.425,1.81,72.8,151430,3.5,41.31,48.3,64.02,85.27,#,85930,100450,133160,177360,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,40,24.1,0.034,1.03,35.62,74080,6.6,16.51,27.25,40.57,45.67,48.73,34350,56680,84380,94990,101350,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9021,Construction Managers,detailed,2330,8.6,2.179,1.23,61.99,128940,3.1,31.59,46,61.05,75.3,90.45,65700,95670,126980,156620,188140,,
