PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",00-0000,All Occupations,total,1020020,1.9,1000,1,34.97,72740,1.2,11.33,15.56,26.34,45.97,70.62,23560,32370,54780,95610,146880,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-0000,Management Occupations,major,79830,2,78.265,1.56,74.6,155170,1.4,29.27,45.29,67.88,#,#,60890,94210,141190,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1011,Chief Executives,detailed,2630,5.5,2.578,1.49,108.93,226570,3.3,49.66,72.72,#,#,#,103290,151250,#,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1021,General and Operations Managers,detailed,19520,3.1,19.138,1.23,74.8,155580,1.6,26.97,40.14,64.45,#,#,56110,83480,134050,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-1031,Legislators,detailed,80,13.9,0.079,0.19,*,65700,8,*,*,*,*,*,39180,46040,63070,77040,110390,True,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,580,12.4,0.573,2.69,61.37,127660,4.1,32.91,44.52,57.71,73.04,#,68450,92600,120040,151930,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2021,Marketing Managers,detailed,4950,4.8,4.854,3.47,89.58,186320,2.8,48.05,65.24,84.25,#,#,99940,135700,175230,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2022,Sales Managers,detailed,5710,4.7,5.597,2.12,76.54,159210,2.9,28.99,45.07,69.83,#,#,60300,93740,145240,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1120,9.2,1.101,2.51,66.75,138840,3.4,33.03,46.85,63.27,80.28,#,68700,97460,131590,166970,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3011,Administrative Services Managers,detailed,3220,5.3,3.156,1.61,55.27,114950,2.7,26.99,35.37,50.49,67.52,#,56150,73580,105020,140440,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,7270,9.5,7.125,2.88,88.6,184290,3.5,55.13,67.44,81.57,#,#,114660,140270,169670,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3031,Financial Managers,detailed,7710,3.6,7.556,1.96,89.78,186740,2.6,42.45,58.17,82.26,#,#,88290,120980,171100,#,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3051,Industrial Production Managers,detailed,730,8.5,0.714,0.58,66.01,137290,5.1,36.57,46.23,61.07,78.4,#,76070,96150,127020,163070,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3061,Purchasing Managers,detailed,640,8.8,0.627,1.19,68.76,143010,4,34.9,48.51,63.42,83.71,#,72590,100900,131900,174110,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,950,9,0.934,1.18,58.7,122100,4.1,32.3,39.36,53.49,73.37,#,67190,81870,111260,152610,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3111,Compensation and Benefits Managers,detailed,220,8.8,0.214,1.85,67.77,140950,4.7,35.14,45.19,60.85,84.9,#,73090,93990,126560,176600,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3121,Human Resources Managers,detailed,1770,3.6,1.732,1.95,74.34,154620,2.3,39.43,52.89,69.35,88.56,#,82020,110020,144250,184200,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-3131,Training and Development Managers,detailed,300,10.2,0.294,1.29,73.97,153850,4,41.91,52.19,66.91,87.62,#,87170,108560,139170,182250,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9021,Construction Managers,detailed,2260,8.5,2.213,1.27,68.49,142450,6,31.24,50.41,65.17,80.76,#,64980,104850,135560,167990,#,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,640,11.5,0.628,1.85,29.3,60950,6.8,20.25,22.01,24.74,30.51,41.04,42120,45780,51460,63470,85360,,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",detailed,860,7.9,0.842,0.49,*,110000,2.4,*,*,*,*,*,84540,93720,108740,125030,146370,True,
CA,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",detailed,900,13.1,0.881,0.9,56.66,117860,4.6,31.18,38.95,49.48,67.75,#,64850,81020,102930,140930,#,,
