PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",00-0000,All Occupations,total,1588590,1.3,1000,1,30.43,63300,2.7,11.59,15.27,23.65,38.69,58.87,24100,31760,49200,80480,122450,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-0000,Management Occupations,major,92450,3.4,58.195,1.15,64.68,134520,1.2,31.11,42.57,58.42,78.38,#,64710,88540,121520,163030,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1011,Chief Executives,detailed,3490,6.8,2.196,1.38,104.45,217260,2.1,52.31,69.42,98.59,#,#,108810,144390,205070,#,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1021,General and Operations Managers,detailed,23090,3,14.536,0.93,65.46,136150,1.4,28.97,39.24,56.59,80.85,#,60260,81620,117710,168180,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1031,Legislators,detailed,190,16,0.12,0.31,*,63000,16.6,*,*,*,*,*,19870,20200,31560,89850,164040,True,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,500,13.9,0.316,1.53,62.04,129030,4.5,33.65,47.68,59.36,72.71,92.5,69990,99170,123460,151240,192390,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2021,Marketing Managers,detailed,4910,9.4,3.088,2.11,71.19,148070,2.5,39.15,52.16,67.6,85.68,#,81440,108490,140620,178220,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2022,Sales Managers,detailed,4810,7.6,3.027,1.16,64.81,134800,2.3,31.1,41.1,57.94,80.44,#,64680,85490,120520,167320,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1480,7.7,0.933,2.05,56.3,117090,2.5,32.04,39.8,51.34,68.5,86.71,66650,82780,106790,142470,180360,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,detailed,2950,5.1,1.855,0.98,56.85,118250,4.1,30.92,40.83,50.6,64.67,89.56,64320,84930,105240,134520,186290,,
