AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1021,"Dentists, General",detailed,1910,12.6,0.976,1.42,NA,81.64,169810,9.8,35.41,56.74,71.08,#,#,73660,118020,147850,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1022,Oral and Maxillofacial Surgeons,detailed,**,**,**,**,NA,#,#,19.1,#,#,#,#,#,#,#,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1029,"Dentists, All Other Specialists",detailed,50,3.4,0.025,0.61,NA,99.64,207260,8.4,69.85,77,98.05,#,#,145280,160160,203950,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1031,Dietitians and Nutritionists,detailed,920,10.7,0.47,0.99,NA,32.8,68220,4.2,18.94,26.27,31.53,38.55,45.49,39400,54650,65580,80180,94610,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1041,Optometrists,detailed,650,34.2,0.33,1.25,NA,62.28,129550,9.4,41.91,48.54,58.67,71.95,82.65,87160,100960,122040,149660,171900,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1051,Pharmacists,detailed,3650,8.4,1.866,0.82,NA,62.1,129170,1.8,37.93,57.12,65.25,73.52,79.82,78900,118810,135720,152930,166030,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1071,Physician Assistants,detailed,1650,12.5,0.845,0.94,NA,64.44,134020,2.4,50.67,55.61,64.27,75.03,82.19,105400,115660,133670,156060,170960,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1081,Podiatrists,detailed,60,24.1,0.03,0.43,NA,72.25,150280,6.8,26.31,41.56,68.39,94.83,#,54720,86430,142240,197240,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1122,Occupational Therapists,detailed,1620,8.9,0.83,0.91,NA,43,89450,2.2,32.95,36.36,42.31,49.89,57.49,68540,75620,88000,103780,119570,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1123,Physical Therapists,detailed,3640,10.1,1.862,1.17,NA,44.19,91910,1.7,31.8,39.98,45.17,49.87,56.52,66140,83160,93940,103740,117550,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1124,Radiation Therapists,detailed,160,13,0.084,0.67,NA,53.44,111150,2.4,37.25,43.77,52.24,62.17,75.03,77480,91040,108660,129310,156050,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1126,Respiratory Therapists,detailed,1030,6.7,0.527,0.56,NA,37.7,78420,1.4,27.77,32.23,37.48,44.02,48.91,57760,67040,77950,91560,101720,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1127,Speech-Language Pathologists,detailed,1680,16.7,0.86,0.81,NA,38.53,80150,2.3,18.07,32.2,39.79,48.26,54.41,37590,66970,82760,100390,113170,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1128,Exercise Physiologists,detailed,40,31.4,0.021,0.4,NA,30.45,63330,2.8,24.23,27.08,30.68,34.45,37.69,50410,56320,63810,71650,78390,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1129,"Therapists, All Other",detailed,50,17.6,0.024,0.29,NA,39.69,82560,4.9,25.19,33.07,40.29,47.48,53.91,52390,68790,83790,98770,112120,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1131,Veterinarians,detailed,1110,22,0.567,1.07,NA,49.12,102160,3.8,36.24,42.15,47.8,55.77,63.95,75380,87670,99420,116000,133020,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,33660,8,17.208,0.8,NA,45.73,95120,1.1,33.11,37.47,45.2,53.92,61.81,68870,77930,94020,112150,128570,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1151,Nurse Anesthetists,detailed,**,**,**,**,NA,93.99,195510,5.1,63.44,83.95,92.57,#,#,131950,174620,192540,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1161,Nurse Midwives,detailed,50,16.5,0.023,0.46,NA,56.18,116850,2.8,50.85,53.22,57.06,60.9,63.21,105780,110690,118680,126670,131470,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1171,Nurse Practitioners,detailed,2490,11.5,1.272,0.84,NA,62,128960,2.2,45.4,54.84,63.16,71.78,78.19,94440,114070,131360,149300,162630,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1181,Audiologists,detailed,210,32.2,0.108,1.13,NA,50.44,104910,6.6,36.21,41.83,47.74,60.63,72.51,75310,87010,99300,126120,150820,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1215,Family Medicine Physicians,detailed,660,16.8,0.339,0.48,NA,118.26,245970,8.4,35.3,95.01,#,#,#,73430,197610,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1216,General Internal Medicine Physicians,detailed,350,23.1,0.181,0.5,NA,100.3,208620,7.3,30.67,67.19,97,#,#,63800,139760,201760,#,#,,
