PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",00-0000,All Occupations,total,1536550,0.9,1000,1,29.33,61000,3.1,11.08,14.73,22.93,37.67,56.81,23050,30650,47690,78340,118160,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-0000,Management Occupations,major,85110,1.3,55.391,1.1,62.54,130080,1.1,30.44,41.22,56.61,76.17,#,63320,85730,117750,158430,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1011,Chief Executives,detailed,3240,8.1,2.107,1.22,102.6,213410,2.3,50.76,68.48,#,#,#,105570,142430,#,#,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1021,General and Operations Managers,detailed,20690,2.2,13.462,0.87,64.86,134910,1.3,29.71,39.65,55.75,79.95,#,61790,82470,115950,166290,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-1031,Legislators,detailed,190,13.6,0.126,0.31,*,69840,13.4,*,*,*,*,*,19790,26120,41180,101710,137290,True,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,560,11.3,0.366,1.72,54.29,112920,4.2,30.75,38.68,52.71,61.47,81.09,63970,80450,109630,127860,168670,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2021,Marketing Managers,detailed,4680,3.9,3.049,2.18,69.13,143790,2.3,38.62,50.51,65.58,83.52,#,80340,105060,136400,173720,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2022,Sales Managers,detailed,5040,4.3,3.282,1.24,62.11,129180,2.3,30.67,40.1,56.61,76.3,#,63780,83420,117750,158710,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1440,7.4,0.94,2.15,53.01,110250,2.3,32.03,38.24,47.9,63.23,79.1,66620,79550,99630,131520,164540,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3011,Administrative Services Managers,detailed,2830,3.5,1.842,0.94,49.16,102260,1.4,29.08,37.35,46.67,58.72,72.5,60480,77690,97080,122140,150810,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,8040,3.7,5.234,2.11,73.66,153220,4,48.27,57.42,70.28,85.49,#,100400,119430,146190,177830,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3031,Financial Managers,detailed,7320,3,4.762,1.24,63.43,131940,1.5,34.77,44.36,58.04,74.94,#,72320,92260,120730,155870,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3051,Industrial Production Managers,detailed,1570,3.6,1.022,0.83,55.9,116270,2.3,31.09,42.07,54.46,68.63,81.12,64660,87510,113280,142740,168740,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3061,Purchasing Managers,detailed,1420,6.4,0.926,1.76,63.51,132110,3.1,34.34,46.39,60.34,76.58,#,71430,96480,125500,159290,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",detailed,1620,5.8,1.056,1.33,51.15,106380,2.8,27.5,36.15,50.03,63.81,75.45,57200,75200,104060,132720,156930,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3111,Compensation and Benefits Managers,detailed,230,7.3,0.15,1.3,59.5,123750,2.9,35.77,46.63,57.88,70.5,84.94,74400,96990,120390,146640,176670,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3121,Human Resources Managers,detailed,2190,4.4,1.423,1.6,58.83,122370,1.7,34.5,43.37,56.3,70.97,87.21,71760,90210,117100,147620,181400,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-3131,Training and Development Managers,detailed,400,9.8,0.261,1.15,53.59,111470,2.4,35.7,42.72,51.7,66.06,75.86,74260,88860,107530,137410,157780,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9021,Construction Managers,detailed,3560,6.7,2.319,1.33,47.96,99750,2,30.59,37.48,46.18,56.37,68.39,63630,77960,96050,117240,142240,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,610,13.3,0.4,1.18,21.49,44700,5,11.59,16.32,18.76,26.65,30.79,24100,33950,39020,55430,64050,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",detailed,1610,2.4,1.051,0.62,*,112230,1.6,*,*,*,*,*,83630,104130,114140,124140,137550,True,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",detailed,1060,4,0.688,0.7,51.75,107640,11.7,31.31,35.94,44.08,58.49,86.78,65120,74750,91680,121660,180500,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9039,"Education Administrators, All Other",detailed,480,16.8,0.311,1.34,37.82,78660,6.9,19.59,24.18,37.65,48.91,58.07,40740,50280,78300,101740,120790,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9041,Architectural and Engineering Managers,detailed,3170,4.2,2.066,1.58,72.79,151390,2.5,49.23,59.07,71.68,86.41,#,102390,122860,149090,179730,#,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9051,Food Service Managers,detailed,1150,11.2,0.751,0.51,27.53,57250,2.7,18.67,21.46,26.48,32.53,37.86,38830,44640,55080,67660,78740,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9071,Gaming Managers,detailed,50,27,0.033,1.16,33.07,68780,4.4,20.33,24.12,31.53,39.67,48.7,42280,50160,65580,82510,101300,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9081,Lodging Managers,detailed,290,9.2,0.188,0.73,27.31,56810,5.5,17.5,21.05,25.89,29.2,37.71,36410,43780,53840,60740,78440,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",11-9111,Medical and Health Services Managers,detailed,2840,6.2,1.849,0.81,63.32,131700,3.6,32.71,42.13,54.89,72.63,#,68040,87620,114180,151070,#,,
