AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4071,Foundry Mold and Coremakers,detailed,70,24.2,0.037,0.38,NA,NA,19.86,41320,2.5,15.18,18.1,18.69,21.24,26.02,31580,37660,38870,44180,54120,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,970,16.1,0.508,0.44,NA,NA,19.61,40800,2.6,14.41,17.68,18.13,22.33,23.37,29960,36780,37700,46450,48600,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,580,7.7,0.304,0.32,NA,NA,24.1,50130,2.7,14.49,18.15,20.99,30.39,38.11,30140,37750,43660,63220,79280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4111,Tool and Die Makers,detailed,830,2.6,0.431,0.96,NA,NA,34.51,71790,0.5,23.31,23.79,37.13,39.52,49.13,48480,49480,77240,82200,102190,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,2770,6.3,1.443,0.51,NA,NA,29,60320,1.4,20.8,23.2,27.89,32.35,38.61,43250,48260,58010,67290,80300,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,70,22.4,0.034,0.16,NA,NA,23.82,49540,6.4,14.63,18.55,22.95,28.9,28.9,30440,38590,47740,60110,60110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,60,17,0.032,0.31,NA,NA,27.32,56830,5.2,18.55,21.01,25.96,36.28,38.11,38580,43700,53990,75470,79280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4192,"Layout Workers, Metal and Plastic",detailed,40,31.3,0.02,0.41,NA,NA,37.04,77050,5.6,22.61,31.73,38.61,49.13,49.13,47030,66000,80300,102190,102190,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,240,13.6,0.127,0.55,NA,NA,22.02,45800,1.8,17.27,17.68,21.31,23.22,29.49,35930,36780,44310,48290,61340,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,110,4.1,0.06,1.38,NA,NA,37.05,77060,1.1,23.22,26.94,38.11,48.44,48.44,48290,56040,79280,100750,100750,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,250,26.5,0.128,0.96,NA,NA,24.39,50730,5.1,14.39,17.68,22.38,28.42,38.11,29920,36780,46550,59110,79280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-5111,Prepress Technicians and Workers,detailed,200,15.9,0.104,0.57,NA,NA,22.72,47270,4.1,17.38,18.66,21.75,28.86,29.56,36160,38820,45240,60030,61480,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,1520,6.9,0.791,0.77,NA,NA,24.21,50360,1.8,17.68,18.49,23.13,28.66,34.19,36780,38450,48110,59610,71110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-5113,Print Binding and Finishing Workers,detailed,510,18.7,0.267,0.92,NA,NA,21.33,44370,8.9,17.12,18.18,18.33,23.51,28.9,35620,37800,38130,48900,60110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6011,Laundry and Dry-Cleaning Workers,detailed,1340,7.7,0.699,0.63,NA,NA,16.93,35220,1.6,14.39,14.58,16.56,18.12,19.97,29920,30320,34440,37690,41530,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,250,27.8,0.131,0.69,NA,NA,16.3,33910,2.8,14.27,14.38,17.45,17.77,18.15,29680,29910,36300,36960,37750,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6031,Sewing Machine Operators,detailed,1300,4.1,0.677,0.82,NA,NA,18.19,37830,0.7,14.51,16.34,17.51,18.45,22.6,30180,33990,36430,38370,47010,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,100,18.2,0.053,0.43,NA,NA,22.22,46210,2.5,15.71,18.21,22.57,28.64,29.19,32680,37880,46940,59580,60710,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,60,11.9,0.03,0.35,NA,NA,20.12,41860,2.2,14.46,17.45,18.79,22.56,29.02,30070,36300,39070,46930,60360,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6093,Upholsterers,detailed,200,14.9,0.105,0.53,NA,NA,26.34,54790,5.8,16.73,18.18,22.96,29.64,38.11,34800,37800,47750,61640,79280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,40,23.5,0.021,0.23,NA,NA,19.76,41110,5.9,14.27,14.63,18.41,20.32,28.64,29680,30430,38290,42260,59580,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-7011,Cabinetmakers and Bench Carpenters,detailed,1010,10.7,0.527,0.8,NA,NA,21.92,45590,2.3,16.67,17.68,21.76,24.14,29.17,34670,36780,45250,50200,60680,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-7021,Furniture Finishers,detailed,280,9.7,0.145,1.26,NA,NA,21.75,45230,3.2,16.79,18.18,20.36,23.09,29.97,34920,37800,42340,48030,62350,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,420,7.3,0.221,0.69,NA,NA,21.04,43760,2.1,14.54,17.5,20.25,23.22,29.31,30250,36400,42110,48290,60950,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,550,7,0.286,0.6,NA,NA,21.11,43900,1.6,17.63,18.12,20.08,23.08,28.29,36680,37690,41770,48010,58840,,
