PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-9011,Demonstrators and Product Promoters,detailed,1490,24.4,0.907,1.52,14.83,30850,3.2,11.76,12.75,14.4,16.58,18.32,24460,26520,29950,34500,38110,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-9021,Real Estate Brokers,detailed,290,34.8,0.178,0.63,32.17,66910,10.1,19.91,24.98,28.24,32.53,52.84,41410,51960,58730,67660,109910,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-9022,Real Estate Sales Agents,detailed,5150,12.1,3.127,3.01,29.97,62340,5.4,15.16,17.87,26.13,35.49,47.81,31530,37170,54350,73830,99440,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-9031,Sales Engineers,detailed,1210,30.3,0.734,1.48,58.85,122410,3.5,35.97,47,58.42,71,79.24,74820,97750,121520,147680,164820,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-9041,Telemarketers,detailed,750,34.4,0.458,0.34,17.5,36390,13,11.25,11.66,15.21,20.94,25.3,23410,24250,31640,43560,52620,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",41-9099,"Sales and Related Workers, All Other",detailed,940,13.2,0.568,0.86,25.82,53700,3,14.51,19.83,23.62,30.48,39.16,30180,41250,49140,63410,81460,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-0000,Office and Administrative Support Occupations,major,219610,3.6,133.311,0.87,21.38,44470,0.7,13.08,15.95,19.9,25.32,30.91,27200,33180,41380,52660,64280,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,14640,3.4,8.889,0.87,32.12,66820,1.5,18.65,23.89,30.28,38.49,47.96,38800,49680,62970,80060,99750,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-2011,"Switchboard Operators, Including Answering Service",detailed,**,**,**,**,17.34,36080,2,13.36,14.75,16.81,18.66,19.94,27790,30680,34960,38800,41470,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3011,Bill and Account Collectors,detailed,1640,11.4,0.997,0.52,19.03,39590,2.6,12.78,14.72,18.01,22.43,27.48,26570,30620,37470,46660,57150,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3021,Billing and Posting Clerks,detailed,4690,9.4,2.845,0.85,22.49,46780,1.8,16.43,18.56,22.01,26.03,29.97,34170,38600,45770,54150,62330,,
