sea_dishwashers_median,year,dc_dishwashers_median,sf_dishwashers_median
9.83,2011,9.29,10.33
10.04,2012,9.48,9.92
10.37,2013,10.14,10.2
10.67,2014,10.55,10.11
11.2,2015,11.01,10.92
11.79,2016,11.54,11.93
13.15,2017,12.46,13.31
13.08,2018,13.78,13.43
14.37,2019,14.6,14.73
15.4,2020,15.18,15.99
17.45,2021,16.1,17.57
