year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,8.85,9.03,9.33,10.83,15.12,10.5,8800
2012,9.13,9.27,9.98,12.38,16.59,11.36,6900
2013,9.22,9.26,10.18,11.86,15.61,11.21,8330
2014,9.33,9.35,10.04,11.39,13.83,10.85,7720
2015,9.53,9.57,10.59,11.76,14.98,11.53,7400
2016,9.86,10.39,11.29,12.77,17.99,12.44,6060
2017,11.28,11.68,12.41,14.51,18.67,13.73,6070
2018,11.7,12.02,13.12,15.5,18.33,14.07,7670
