year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,8.5,8.73,9.12,11.08,16.48,10.58,1420
2012,8.6,8.89,9.38,13.83,17.3,11.43,1220
2013,8.59,8.87,9.35,12.18,16.42,10.9,1420
2014,8.69,9.12,10.55,13.76,17.3,11.9,1200
2015,9.57,9.62,10.77,12.61,17.63,12.16,1290
2016,10.69,11.09,11.78,15.13,18.58,13.51,1680
2017,11.79,11.98,12.47,14.89,18.69,13.98,2120
2018,12.77,12.79,13.9,16.39,20.23,15.28,2060
