sea_cooks_median,year,dc_cooks_median,sf_cooks_median
12.88,2011,13.35,13.53
12.82,2012,13.62,13.19
12.7,2013,13.74,13.05
12.98,2014,13.66,13.2
13.48,2015,12.7,13.94
14.17,2016,12.91,15.13
15.41,2017,14.11,15.9
16.24,2018,15.67,15.69
17.18,2019,16.2,16.88
17.7,2020,16.92,17.66
18.67,2021,17.67,18.64
