sea_bartenders_median,year,dc_bartenders_median,sf_bartenders_median
13.07,2011,9.56,13.07
12.43,2012,9.5,12.43
11.31,2013,9.34,11.31
13.67,2014,11.84,13.67
13.45,2015,11.08,13.45
14.3,2016,12.98,14.3
13.89,2017,15.05,13.89
16.9,2018,17.91,16.9
18.59,2019,20.76,18.59
17.83,2020,23.5,17.83
17.84,2021,15.99,17.84
