sea_bartenders_median,year,dc_bartenders_median,sf_bartenders_median
13.45,2011,9.32,10.47
12,2012,9.23,10.31
10.21,2013,9.13,10.52
10.8,2014,9.19,10.92
12.08,2015,9.58,13.12
12.61,2016,10.58,14.23
13.76,2017,11.86,14.32
14.15,2018,14.54,14.24
15.98,2019,17.37,14.68
17.63,2020,21.08,16.36
18.27,2021,16.77,16.86
